Symbol,Name,Sector
MOTILALOFS,Motilal Oswal Financial Services Limited,nil
IBULHSGFIN,Indiabulls Housing Finance Limited,nil
GALAXYSURF,Galaxy Surfactants Limited,nil
SHRIRAMCIT,Shriram City Union Finance Limited,nil
BLUESTARCO,Blue Star Limited,nil
BASF,BASF India Limited,nil
CGPOWER,CG Power and Industrial Solutions Limited,nil
RATNAMANI,Ratnamani Metals & Tubes Limited,nil
DHANI,Dhani Services Limited,nil
SYMPHONY,Symphony Limited,nil
HUDCO,Housing & Urban Development Corporation Limited,nil
KIOCL,KIOCL Limited,nil
NBCC,NBCC (India) Limited,nil
NH,Narayana Hrudayalaya Ltd.,nil
ERIS,Eris Lifesciences Limited,nil
CANFINHOME,Can Fin Homes Limited,nil
ROUTE,ROUTE MOBILE LIMITED,nil
WELSPUNIND,Welspun India Limited,nil
JMFINANCIL,JM Financial Limited,nil
DBL,Dilip Buildcon Limited,nil
HAPPSTMNDS,Happiest Minds Technologies Limited,nil
FSL,Firstsource Solutions Limited,nil
FINPIPE,Finolex Industries Limited,nil
POLYMED,Poly Medicure Limited,nil
CESC,CESC Limited,nil
DCMSHRIRAM,DCM Shriram Limited,nil
BBTC,Bombay Burmah Trading Corporation Limited,nil
STLTECH,Sterlite Technologies Limited,nil
STAR,Strides Pharma Science Limited,nil
IDFC,IDFC Limited,nil
ASAHIINDIA,Asahi India Glass Limited,nil
ASTRAZEN,AstraZeneca Pharma India Limited,nil
GRANULES,Granules India Limited,nil
RADICO,Radico Khaitan Limited,nil
VTL,Vardhman Textiles Limited,nil
EPL,EPL Limited,nil
PVR,PVR Limited,nil
REDINGTON,Redington (India) Limited,nil
UTIAMC,UTI Asset Management Company Limited,nil
KPRMILL,K.P.R. Mill Limited,nil
BIRLACORPN,Birla Corporation Limited,nil
LAXMIMACH,Lakshmi Machine Works Limited,nil
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,nil
TRIDENT,Trident Limited,nil
CYIENT,Cyient Limited,nil
CENTURYPLY,Century Plyboards (India) Limited,nil
BSOFT,BIRLASOFT LIMITED,nil
KALYANKJIL,Kalyan Jewellers India Limited,nil
FINEORG,Fine Organic Industries Limited,nil
NLCINDIA,NLC India Limited,nil
ASTERDM,Aster DM Healthcare Limited,nil
EQUITASBNK,Equitas Small Finance Bank Limited,nil
CDSL,Central Depository Services (India) Limited,nil
MRPL,Mangalore Refinery and Petrochemicals Limited,nil
CGCL,Capri Global Capital Limited,nil
PNCINFRA,PNC Infratech Limited,nil
ORIENTELEC,Orient Electric Limited,nil
PRSMJOHNSN,Prism Johnson Limited,nil
AARTIDRUGS,Aarti Drugs Limited,nil
TEAMLEASE,Teamlease Services Limited,nil
MMTC,MMTC Limited,nil
FLUOROCHEM,Gujarat Fluorochemicals Limited,nil
INFIBEAM,Infibeam Avenues Limited,nil
PNBHOUSING,PNB Housing Finance Limited,nil
CEATLTD,CEAT Limited,nil
